Israeli dust N12,,Israeli dust N12,,Canary dust N12,,Canary dust N12,,Saharan dust N12,Saharan dust N12,Saharan dust N12,,Saharan dust C09,Saharan dust C10,Saharan dust C09,,Asian dust N12,,Asian dust N12,,Asian dust C09,,Asian dust C09,,N12 parameterisation,T C,N12 parameterisation,N12 parameterisation,,ALL DUST T,,ALL DUST ns,
T,TC,cm-2,m-2,T,TC,cm-2,m-2,T,T C,cm-2,m-2,T,T C,cm-2,m2,T,TC,cm-2,m2,T,TC,cm-2,m-2,,,,m-2,,T,TC,cm-2,m-2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assian CO9,240.1939,-32.9561,9167780,91677800000
246.0937,-27.0563,916778,9167780000,250.3046,-22.8454,67637.7,676377000,246.4851,-26.6649,568482,5684820000,246.3092,-26.8408,1297800,12978000000,245.7019,-27.4481,1612680,16126800000,240.1939,-32.9561,9167780,91677800000,261.15,-12,375.2752,3752752,,241.7117,-31.4383,5937240,59372400000
246.6572,-26.4928,840482,8404820000,,,,,247.2233,-25.9267,337522,3375220000,246.8746,-26.2754,647621,6476210000,246.4392,-26.7108,1297800,12978000000,241.7117,-31.4383,5937240,59372400000,260.15,-13,629.33243,6293324.3,,242.2306,-30.9194,8404820,84048200000
247.6118,-25.5382,544313,5443130000,,,,,248.0895,-25.0605,384508,3845080000,247.3981,-25.7519,209293,2092930000,247.2634,-25.8866,957485,9574850000,242.2306,-30.9194,8404820,84048200000,259.15,-14,1055.38365,10553836.5,,243.0546,-30.0954,6476210,64762100000
248.7406,-24.4094,260072,2600720000,,,,,250.9586,-22.1914,18371.8,183718000,248.6122,-24.5378,154411,1544110000,248.5229,-24.6271,368161,3681610000,243.0546,-30.0954,6476210,64762100000,258.15,-15,1769.86691,17698669.1,,246.0054,-27.1446,1544110,15441100000
250.1279,-23.0221,200395,2003950000,,,,,251.4796,-21.6704,12978,129780000,248.7834,-24.3666,309433,3094330000,251.9068,-21.2432,91677.8,916778000,246.0054,-27.1446,1544110,15441100000,257.15,-16,2968.04756,29680475.6,,251.2988,-21.8512,141561,1415610000
250.5218,-22.6282,56848.2,568482000,,,,,252.1229,-21.0271,109078,1090780000,,,,,252.6882,-20.4618,56848.2,568482000,251.2988,-21.8512,141561,1415610000,256.15,-17,4977.38349,49773834.9,,251.4302,-21.7198,91677.8,916778000
250.5635,-22.5865,95748.5,957485000,,,,,252.2563,-20.8937,36816.1,368161000,,,,,254.0768,-19.0732,28368.1,283681000,251.4302,-21.7198,91677.8,916778000,255.15,-18,8347.018,83470180,,254.5559,-18.5941,12978,129780000
251.001,-22.149,24901.6,249016000,,,,,252.6948,-20.4552,6763.77,67637700,,,,,,,,,254.5559,-18.5941,12978,129780000,254.15,-19,13997.85844,139978584.4,Asian N12,245.7019,-27.4481,1612680,16126800000
251.0399,-22.1101,100000,1000000000,,,,,253.8192,-19.3308,13554.2,135542000,,,,,,,,,,,,,253.15,-20,23474.25642,234742564.2,,246.4392,-26.7108,1297800,12978000000
251.0822,-22.0678,141561,1415610000,,,,,259.5828,-13.5672,9574.85,95748500,,,,,,,,,,,,,252.15,-21,39366.07281,393660728.1,,247.2634,-25.8866,957485,9574850000
251.3872,-21.7628,80474.9,804749000,,,,,,,,,,,,,,,,,,,,,251.15,-22,66016.47612,660164761.2,,248.5229,-24.6271,368161,3681610000
251.8267,-21.3233,11392.1,113921000,,,,,,,,,,,,,,,,,,,,,250.15,-23,110708.91274,1107089127.4,,251.9068,-21.2432,91677.8,916778000
251.9526,-21.1974,41941.3,419413000,,,,,,,,,,,,,,,,,,,,,249.15,-24,185657.64307,1856576430.7,,252.6882,-20.4618,56848.2,568482000
252.0831,-21.0669,35250.9,352509000,,,,,,,,,,,,,,,,,,,,,248.15,-25,311345.84902,3113458490.2,,254.0768,-19.0732,28368.1,283681000
252.3387,-20.8113,141561,1415610000,,,,,,,,,,,,,,,,,,,,,247.15,-26,522123.60396,5221236039.6,Saharan CO9,246.3092,-26.8408,1297800,12978000000
252.7378,-20.4122,7705.35,77053500,,,,,,,,,,,,,,,,,,,,,246.15,-27,875595.60747,8755956074.7,,246.8746,-26.2754,647621,6476210000
253.1713,-19.9787,7064.1,70641000,,,,,,,,,,,,,,,,,,,,,245.15,-28,1468360,14683600000,,247.3981,-25.7519,209293,2092930000
253.514,-19.636,24901.6,249016000,,,,,,,,,,,,,,,,,,,,,244.15,-29,2462430,24624300000,,248.6122,-24.5378,154411,1544110000
254.0791,-19.0709,13554.2,135542000,,,,,,,,,,,,,,,,,,,,,243.15,-30,4129470,41294700000,,248.7834,-24.3666,309433,3094330000
257.3776,-15.7724,2282.92,22829200,,,,,,,,,,,,,,,,,,,,,242.15,-31,6925080,69250800000,Saharan N12,246.4851,-26.6649,568482,5684820000
257.5981,-15.5519,676.377,6763770,,,,,,,,,,,,,,,,,,,,,241.15,-32,11613300,116133000000,,247.2233,-25.9267,337522,3375220000
,,,,,,,,,,,,,,,,,,,,,,,,240.15,-33,19475300,194753000000,,248.0895,-25.0605,384508,3845080000
,,,,,,,,,,,,,,,,,,,,,,,,239.15,-34,32659900,326599000000,,250.9586,-22.1914,18371.8,183718000
,,,,,,,,,,,,,,,,,,,,,,,,238.15,-35,54770400,547704000000,,251.4796,-21.6704,12978,129780000
,,,,,,,,,,,,,,,,,,,,,,,,237.15,-36,91849300,918493000000,,252.1229,-21.0271,109078,1090780000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.2563,-20.8937,36816.1,368161000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.6948,-20.4552,6763.77,67637700
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.8192,-19.3308,13554.2,135542000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.5828,-13.5672,9574.85,95748500
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canary N12,250.3046,-22.8454,67637.7,676377000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Israeli N12,246.0937,-27.0563,916778,9167780000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.6572,-26.4928,840482,8404820000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.6118,-25.5382,544313,5443130000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.7406,-24.4094,260072,2600720000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.1279,-23.0221,200395,2003950000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.5218,-22.6282,56848.2,568482000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.5635,-22.5865,95748.5,957485000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.001,-22.149,24901.6,249016000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.0399,-22.1101,100000,1000000000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.0822,-22.0678,141561,1415610000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.3872,-21.7628,80474.9,804749000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.8267,-21.3233,11392.1,113921000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.9526,-21.1974,41941.3,419413000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.0831,-21.0669,35250.9,352509000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.3387,-20.8113,141561,1415610000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.7378,-20.4122,7705.35,77053500
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.1713,-19.9787,7064.1,70641000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.514,-19.636,24901.6,249016000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.0791,-19.0709,13554.2,135542000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.3776,-15.7724,2282.92,22829200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.5981,-15.5519,676.377,6763770
